,date,avg_price
0,1988-01-01,120580
1,1988-02-01,123071
2,1988-03-01,122809
3,1988-04-01,126630
4,1988-05-01,127309
5,1988-06-01,126692
6,1988-07-01,129473
7,1988-08-01,132361
8,1988-09-01,132507
9,1988-10-01,136897
10,1988-11-01,137526
11,1988-12-01,138374
12,1989-01-01,150778
13,1989-02-01,154474
14,1989-03-01,145987
15,1989-04-01,137747
16,1989-05-01,138596
17,1989-06-01,142422
18,1989-07-01,143362
19,1989-08-01,146533
20,1989-09-01,146451
21,1989-10-01,150971
22,1989-11-01,151179
23,1989-12-01,149483
24,1990-01-01,149071
25,1990-02-01,148437
26,1990-03-01,136799
27,1990-04-01,139633
28,1990-05-01,134863
29,1990-06-01,139325
30,1990-07-01,142319
31,1990-08-01,141971
32,1990-09-01,142893
33,1990-10-01,139716
34,1990-11-01,139433
35,1990-12-01,143326
36,1991-01-01,139989
37,1991-02-01,144529
38,1991-03-01,149876
39,1991-04-01,156329
40,1991-05-01,152592
41,1991-06-01,149722
42,1991-07-01,148705
43,1991-08-01,147115
44,1991-09-01,148264
45,1991-10-01,147198
46,1991-11-01,146170
47,1991-12-01,146074
48,1992-01-01,145737
49,1992-02-01,145371
50,1992-03-01,146818
51,1992-04-01,148387
52,1992-05-01,149232
53,1992-06-01,148522
54,1992-07-01,150422
55,1992-08-01,151379
56,1992-09-01,153071
57,1992-10-01,151850
58,1992-11-01,156080
59,1992-12-01,150139
60,1993-01-01,150286
61,1993-02-01,153394
62,1993-03-01,150736
63,1993-04-01,152228
64,1993-05-01,153869
65,1993-06-01,154407
66,1993-07-01,153370
67,1993-08-01,153758
68,1993-09-01,151673
69,1993-10-01,150057
70,1993-11-01,154326
71,1993-12-01,154104
72,1994-01-01,158398
73,1994-02-01,159932
74,1994-03-01,155963
75,1994-04-01,157421
76,1994-05-01,160339
77,1994-06-01,155912
78,1994-07-01,154384
79,1994-08-01,160214
80,1994-09-01,160313
81,1994-10-01,158850
82,1994-11-01,156799
83,1994-12-01,154726
84,1995-01-01,155996
85,1995-02-01,152592
86,1995-03-01,147228
87,1995-04-01,147696
88,1995-05-01,148678
89,1995-06-01,147552
90,1995-07-01,150940
91,1995-08-01,153328
92,1995-09-01,150143
93,1995-10-01,151332
94,1995-11-01,149942
95,1995-12-01,150701
96,1996-01-01,148444
97,1996-02-01,146727
98,1996-03-01,148755
99,1996-04-01,151219
100,1996-05-01,149916
101,1996-06-01,151786
102,1996-07-01,151963
103,1996-08-01,150806
104,1996-09-01,153107
105,1996-10-01,151020
106,1996-11-01,150313
107,1996-12-01,154325
108,1997-01-01,154891
109,1997-02-01,152666
110,1997-03-01,155785
111,1997-04-01,156211
112,1997-05-01,154814
113,1997-06-01,155332
114,1997-07-01,155412
115,1997-08-01,155786
116,1997-09-01,156504
117,1997-10-01,156232
118,1997-11-01,154783
119,1997-12-01,152579
120,1998-01-01,154784
121,1998-02-01,152121
122,1998-03-01,151802
123,1998-04-01,151655
124,1998-05-01,152439
125,1998-06-01,153088
126,1998-07-01,151655
127,1998-08-01,152563
128,1998-09-01,152650
129,1998-10-01,153473
130,1998-11-01,152359
131,1998-12-01,155580
132,1999-01-01,153293
133,1999-02-01,153498
134,1999-03-01,156392
135,1999-04-01,157461
136,1999-05-01,158803
137,1999-06-01,158045
138,1999-07-01,159883
139,1999-08-01,160724
140,1999-09-01,160124
141,1999-10-01,160512
142,1999-11-01,161755
143,1999-12-01,163842
144,2000-01-01,162113
145,2000-02-01,163439
146,2000-03-01,162578
147,2000-04-01,163244
148,2000-05-01,161402
149,2000-06-01,163250
150,2000-07-01,163997
151,2000-08-01,165030
152,2000-09-01,167220
153,2000-10-01,166237
154,2000-11-01,167110
155,2000-12-01,167815
156,2001-01-01,167050
157,2001-02-01,166557
158,2001-03-01,166595
159,2001-04-01,165601
160,2001-05-01,170631
161,2001-06-01,173797
162,2001-07-01,175245
163,2001-08-01,175608
164,2001-09-01,172371
165,2001-10-01,171474
166,2001-11-01,176056
167,2001-12-01,181743
168,2002-01-01,182019
169,2002-02-01,183882
170,2002-03-01,185621
171,2002-04-01,186686
172,2002-05-01,187350
173,2002-06-01,187031
174,2002-07-01,187483
175,2002-08-01,188792
176,2002-09-01,192509
177,2002-10-01,193745
178,2002-11-01,197053
179,2002-12-01,196789
180,2003-01-01,198881
181,2003-02-01,199125
182,2003-03-01,200603
183,2003-04-01,198999
184,2003-05-01,200899
185,2003-06-01,204301
186,2003-07-01,208254
187,2003-08-01,212592
188,2003-09-01,211740
189,2003-10-01,216149
190,2003-11-01,219154
191,2003-12-01,214963
192,2004-01-01,218903
193,2004-02-01,220177
194,2004-03-01,221465
195,2004-04-01,224599
196,2004-05-01,225229
197,2004-06-01,224073
198,2004-07-01,223784
199,2004-08-01,224328
200,2004-09-01,228247
201,2004-10-01,231401
202,2004-11-01,232147
203,2004-12-01,237855
204,2005-01-01,236080
205,2005-02-01,238979
206,2005-03-01,241628
207,2005-04-01,243476
208,2005-05-01,244871
209,2005-06-01,246901
210,2005-07-01,250585
211,2005-08-01,251622
212,2005-09-01,255232
213,2005-10-01,255929
214,2005-11-01,257939
215,2005-12-01,260916
216,2006-01-01,264155
217,2006-02-01,267696
218,2006-03-01,271204
219,2006-04-01,273586
220,2006-05-01,275462
221,2006-06-01,276540
222,2006-07-01,276121
223,2006-08-01,280842
224,2006-09-01,279622
225,2006-10-01,282213
226,2006-11-01,283617
227,2006-12-01,282673
228,2007-01-01,291425
229,2007-02-01,295438
230,2007-03-01,297394
231,2007-04-01,299096
232,2007-05-01,303716
233,2007-06-01,307627
234,2007-07-01,311283
235,2007-08-01,312969
236,2007-09-01,311890
237,2007-10-01,312955
238,2007-11-01,316296
239,2007-12-01,322221
240,2008-01-01,319490
241,2008-02-01,313543
242,2008-03-01,311315
243,2008-04-01,310992
244,2008-05-01,308421
245,2008-06-01,305983
246,2008-07-01,302617
247,2008-08-01,298635
248,2008-09-01,296301
249,2008-10-01,281502
250,2008-11-01,285941
251,2008-12-01,286243
252,2009-01-01,284026
253,2009-02-01,284202
254,2009-03-01,286457
255,2009-04-01,299813
256,2009-05-01,308982
257,2009-06-01,317588
258,2009-07-01,326856
259,2009-08-01,332316
260,2009-09-01,336545
261,2009-10-01,339463
262,2009-11-01,340093
263,2009-12-01,342545
264,2010-01-01,339645
265,2010-02-01,335348
266,2010-03-01,336291
267,2010-04-01,336443
268,2010-05-01,334665
269,2010-06-01,333317
270,2010-07-01,331080
271,2010-08-01,333087
272,2010-09-01,336909
273,2010-10-01,342525
274,2010-11-01,347104
275,2010-12-01,351198
276,2011-01-01,354982
277,2011-02-01,362968
278,2011-03-01,365008
279,2011-04-01,361634
280,2011-05-01,362771
281,2011-06-01,361989
282,2011-07-01,361552
283,2011-08-01,358500
284,2011-09-01,357347
285,2011-10-01,360654
286,2011-11-01,363558
287,2011-12-01,354172
288,2012-01-01,360161
289,2012-02-01,369061
290,2012-03-01,361890
291,2012-04-01,365054
292,2012-05-01,361592
293,2012-06-01,360509
294,2012-07-01,355899
295,2012-08-01,359905
296,2012-09-01,361743
297,2012-10-01,360597
298,2012-11-01,361129
299,2012-12-01,360902
300,2013-01-01,367283
301,2013-02-01,363605
302,2013-03-01,370272
303,2013-04-01,369164
304,2013-05-01,374992
305,2013-06-01,377491
306,2013-07-01,387136
307,2013-08-01,390597
308,2013-09-01,392358
309,2013-10-01,391486
310,2013-11-01,396696
311,2013-12-01,401404
312,2014-01-01,401115
313,2014-02-01,398901
314,2014-03-01,390597
315,2014-04-01,396434
316,2014-05-01,401753
317,2014-06-01,404513
318,2014-07-01,406862
319,2014-08-01,412021
320,2014-09-01,416143
321,2014-10-01,419380
322,2014-11-01,417869
323,2014-12-01,417238
324,2015-01-01,413503
325,2015-02-01,422251
326,2015-03-01,426719
327,2015-04-01,433425
328,2015-05-01,433279
329,2015-06-01,441823
330,2015-07-01,445332
331,2015-08-01,447568
332,2015-09-01,441416
333,2015-10-01,454228
334,2015-11-01,459278
335,2015-12-01,466312
336,2016-01-01,484047
337,2016-02-01,489891
338,2016-03-01,492535
339,2016-04-01,489629
340,2016-05-01,490740
341,2016-06-01,492394
342,2016-07-01,489218
343,2016-08-01,471951
344,2016-09-01,480486
345,2016-10-01,478263
346,2016-11-01,491405
347,2016-12-01,481670
348,2017-01-01,485994
349,2017-02-01,510588
350,2017-03-01,532691
351,2017-04-01,539866
352,2017-05-01,510013
353,2017-06-01,494175
354,2017-07-01,487099
355,2017-08-01,488909
356,2017-09-01,493398
357,2017-10-01,499820
358,2017-11-01,502662
359,2017-12-01,507336
360,2018-01-01,497076
361,2018-02-01,487856
362,2018-03-01,479253
363,2018-04-01,478138
364,2018-05-01,482397
365,2018-06-01,488736
366,2018-07-01,490096
367,2018-08-01,492870
368,2018-09-01,492662
369,2018-10-01,490940
370,2018-11-01,485256
371,2018-12-01,479898
372,2019-01-01,471206
373,2019-02-01,464988
374,2019-03-01,473020
375,2019-04-01,480593
376,2019-05-01,491180
377,2019-06-01,497133
378,2019-07-01,508389
379,2019-08-01,510873
380,2019-09-01,516831
381,2019-10-01,518389
382,2019-11-01,524478
383,2019-12-01,524625
384,2020-01-01,526804
385,2020-02-01,535978
